,accuracy,k,n_classes_,n_features_,n_informative_,n_samples_,scale_,sim_id,strategy
0,0.9322,20,2,4,3,588,2.000541953118942,5.0,ds_knora_eliminate
0,0.9322,25,2,4,3,588,2.000541953118942,5.0,ds_knora_eliminate
0,0.9322,30,2,4,3,588,2.000541953118942,5.0,ds_knora_eliminate
0,0.9322,35,2,4,3,588,2.000541953118942,5.0,ds_knora_eliminate
0,0.9322,40,2,4,3,588,2.000541953118942,5.0,ds_knora_eliminate
0,0.9322,45,2,4,3,588,2.000541953118942,5.0,ds_knora_eliminate
0,0.9322,50,2,4,3,588,2.000541953118942,5.0,ds_knora_eliminate
0,0.9322,60,2,4,3,588,2.000541953118942,5.0,ds_knora_eliminate
0,0.9322,70,2,4,3,588,2.000541953118942,5.0,ds_knora_eliminate
0,0.9322,80,2,4,3,588,2.000541953118942,5.0,ds_knora_eliminate
0,0.9322,90,2,4,3,588,2.000541953118942,5.0,ds_knora_eliminate
0,0.9322,100,2,4,3,588,2.000541953118942,5.0,ds_knora_eliminate
0,0.9322,200,2,4,3,588,2.000541953118942,5.0,ds_knora_eliminate
0,0.9322,300,2,4,3,588,2.000541953118942,5.0,ds_knora_eliminate
0,0.8158,3,7,21,13,1514,0.9454326684614638,6.0,ds_knora_eliminate
0,0.8421,5,7,21,13,1514,0.9454326684614638,6.0,ds_knora_eliminate
0,0.8421,10,7,21,13,1514,0.9454326684614638,6.0,ds_knora_eliminate
0,0.8421,15,7,21,13,1514,0.9454326684614638,6.0,ds_knora_eliminate
0,0.8421,20,7,21,13,1514,0.9454326684614638,6.0,ds_knora_eliminate
0,0.8421,25,7,21,13,1514,0.9454326684614638,6.0,ds_knora_eliminate
0,0.8421,30,7,21,13,1514,0.9454326684614638,6.0,ds_knora_eliminate
0,0.8421,35,7,21,13,1514,0.9454326684614638,6.0,ds_knora_eliminate
0,0.8421,40,7,21,13,1514,0.9454326684614638,6.0,ds_knora_eliminate
0,0.8421,45,7,21,13,1514,0.9454326684614638,6.0,ds_knora_eliminate
0,0.8421,50,7,21,13,1514,0.9454326684614638,6.0,ds_knora_eliminate
0,0.8421,60,7,21,13,1514,0.9454326684614638,6.0,ds_knora_eliminate
0,0.8421,70,7,21,13,1514,0.9454326684614638,6.0,ds_knora_eliminate
0,0.8421,80,7,21,13,1514,0.9454326684614638,6.0,ds_knora_eliminate
0,0.8421,90,7,21,13,1514,0.9454326684614638,6.0,ds_knora_eliminate
0,0.8421,100,7,21,13,1514,0.9454326684614638,6.0,ds_knora_eliminate
0,0.8421,200,7,21,13,1514,0.9454326684614638,6.0,ds_knora_eliminate
0,0.8421,300,7,21,13,1514,0.9454326684614638,6.0,ds_knora_eliminate
0,0.64,3,7,10,8,1494,1.6105114274381884,7.0,ds_knora_eliminate
0,0.6733,5,7,10,8,1494,1.6105114274381884,7.0,ds_knora_eliminate
0,0.76,10,7,10,8,1494,1.6105114274381884,7.0,ds_knora_eliminate
0,0.7467,15,7,10,8,1494,1.6105114274381884,7.0,ds_knora_eliminate
0,0.7533,20,7,10,8,1494,1.6105114274381884,7.0,ds_knora_eliminate
0,0.7533,25,7,10,8,1494,1.6105114274381884,7.0,ds_knora_eliminate
0,0.7533,30,7,10,8,1494,1.6105114274381884,7.0,ds_knora_eliminate
0,0.7533,35,7,10,8,1494,1.6105114274381884,7.0,ds_knora_eliminate
0,0.7533,40,7,10,8,1494,1.6105114274381884,7.0,ds_knora_eliminate
0,0.7533,45,7,10,8,1494,1.6105114274381884,7.0,ds_knora_eliminate
0,0.7533,50,7,10,8,1494,1.6105114274381884,7.0,ds_knora_eliminate
0,0.7533,60,7,10,8,1494,1.6105114274381884,7.0,ds_knora_eliminate
0,0.7533,70,7,10,8,1494,1.6105114274381884,7.0,ds_knora_eliminate
0,0.7533,80,7,10,8,1494,1.6105114274381884,7.0,ds_knora_eliminate
0,0.7533,90,7,10,8,1494,1.6105114274381884,7.0,ds_knora_eliminate
0,0.7533,100,7,10,8,1494,1.6105114274381884,7.0,ds_knora_eliminate
0,0.7533,200,7,10,8,1494,1.6105114274381884,7.0,ds_knora_eliminate
0,0.7533,300,7,10,8,1494,1.6105114274381884,7.0,ds_knora_eliminate
0,0.6437,3,14,22,19,1739,2.221803898368603,8.0,ds_knora_eliminate
0,0.6839,5,14,22,19,1739,2.221803898368603,8.0,ds_knora_eliminate
0,0.7069,10,14,22,19,1739,2.221803898368603,8.0,ds_knora_eliminate
0,0.7184,15,14,22,19,1739,2.221803898368603,8.0,ds_knora_eliminate
0,0.7184,20,14,22,19,1739,2.221803898368603,8.0,ds_knora_eliminate
0,0.7184,25,14,22,19,1739,2.221803898368603,8.0,ds_knora_eliminate
0,0.7184,30,14,22,19,1739,2.221803898368603,8.0,ds_knora_eliminate
0,0.7184,35,14,22,19,1739,2.221803898368603,8.0,ds_knora_eliminate
0,0.7184,40,14,22,19,1739,2.221803898368603,8.0,ds_knora_eliminate
0,0.7184,45,14,22,19,1739,2.221803898368603,8.0,ds_knora_eliminate
0,0.7184,50,14,22,19,1739,2.221803898368603,8.0,ds_knora_eliminate
0,0.7184,60,14,22,19,1739,2.221803898368603,8.0,ds_knora_eliminate
0,0.7184,70,14,22,19,1739,2.221803898368603,8.0,ds_knora_eliminate
0,0.7184,80,14,22,19,1739,2.221803898368603,8.0,ds_knora_eliminate
0,0.7184,90,14,22,19,1739,2.221803898368603,8.0,ds_knora_eliminate
0,0.7184,100,14,22,19,1739,2.221803898368603,8.0,ds_knora_eliminate
0,0.7184,200,14,22,19,1739,2.221803898368603,8.0,ds_knora_eliminate
0,0.7184,300,14,22,19,1739,2.221803898368603,8.0,ds_knora_eliminate
