,accuracy,k,n_classes_,n_features_,n_informative_,n_samples_,scale_,sim_id,strategy
0,0.9831,50,2,4,3,588,2.000541953118942,25.0,ds_la_ola
0,0.9831,60,2,4,3,588,2.000541953118942,25.0,ds_la_ola
0,0.9831,70,2,4,3,588,2.000541953118942,25.0,ds_la_ola
0,0.9831,80,2,4,3,588,2.000541953118942,25.0,ds_la_ola
0,0.9831,90,2,4,3,588,2.000541953118942,25.0,ds_la_ola
0,0.9831,100,2,4,3,588,2.000541953118942,25.0,ds_la_ola
0,0.9831,200,2,4,3,588,2.000541953118942,25.0,ds_la_ola
0,0.9831,300,2,4,3,588,2.000541953118942,25.0,ds_la_ola
0,0.1885,3,18,59,32,1215,0.6414816157794592,27.0,ds_la_ola
0,0.2869,5,18,59,32,1215,0.6414816157794592,27.0,ds_la_ola
0,0.3852,10,18,59,32,1215,0.6414816157794592,27.0,ds_la_ola
0,0.4098,15,18,59,32,1215,0.6414816157794592,27.0,ds_la_ola
0,0.418,20,18,59,32,1215,0.6414816157794592,27.0,ds_la_ola
0,0.418,25,18,59,32,1215,0.6414816157794592,27.0,ds_la_ola
0,0.418,30,18,59,32,1215,0.6414816157794592,27.0,ds_la_ola
0,0.418,35,18,59,32,1215,0.6414816157794592,27.0,ds_la_ola
0,0.418,40,18,59,32,1215,0.6414816157794592,27.0,ds_la_ola
0,0.418,45,18,59,32,1215,0.6414816157794592,27.0,ds_la_ola
0,0.418,50,18,59,32,1215,0.6414816157794592,27.0,ds_la_ola
0,0.418,60,18,59,32,1215,0.6414816157794592,27.0,ds_la_ola
0,0.418,70,18,59,32,1215,0.6414816157794592,27.0,ds_la_ola
0,0.418,80,18,59,32,1215,0.6414816157794592,27.0,ds_la_ola
0,0.418,90,18,59,32,1215,0.6414816157794592,27.0,ds_la_ola
0,0.418,100,18,59,32,1215,0.6414816157794592,27.0,ds_la_ola
0,0.418,200,18,59,32,1215,0.6414816157794592,27.0,ds_la_ola
0,0.418,300,18,59,32,1215,0.6414816157794592,27.0,ds_la_ola
0,0.2053,3,23,86,52,1507,1.6528662764047548,28.0,ds_la_ola
0,0.2517,5,23,86,52,1507,1.6528662764047548,28.0,ds_la_ola
0,0.3377,10,23,86,52,1507,1.6528662764047548,28.0,ds_la_ola
0,0.3377,15,23,86,52,1507,1.6528662764047548,28.0,ds_la_ola
0,0.351,20,23,86,52,1507,1.6528662764047548,28.0,ds_la_ola
0,0.351,25,23,86,52,1507,1.6528662764047548,28.0,ds_la_ola
0,0.351,30,23,86,52,1507,1.6528662764047548,28.0,ds_la_ola
0,0.351,35,23,86,52,1507,1.6528662764047548,28.0,ds_la_ola
0,0.351,40,23,86,52,1507,1.6528662764047548,28.0,ds_la_ola
0,0.351,45,23,86,52,1507,1.6528662764047548,28.0,ds_la_ola
0,0.351,50,23,86,52,1507,1.6528662764047548,28.0,ds_la_ola
0,0.351,60,23,86,52,1507,1.6528662764047548,28.0,ds_la_ola
0,0.351,70,23,86,52,1507,1.6528662764047548,28.0,ds_la_ola
0,0.351,80,23,86,52,1507,1.6528662764047548,28.0,ds_la_ola
0,0.351,90,23,86,52,1507,1.6528662764047548,28.0,ds_la_ola
0,0.351,100,23,86,52,1507,1.6528662764047548,28.0,ds_la_ola
0,0.351,200,23,86,52,1507,1.6528662764047548,28.0,ds_la_ola
0,0.351,300,23,86,52,1507,1.6528662764047548,28.0,ds_la_ola
0,0.6,3,7,9,8,745,1.9297633440175364,29.0,ds_la_ola
0,0.6133,5,7,9,8,745,1.9297633440175364,29.0,ds_la_ola
0,0.6133,10,7,9,8,745,1.9297633440175364,29.0,ds_la_ola
0,0.64,15,7,9,8,745,1.9297633440175364,29.0,ds_la_ola
0,0.6133,20,7,9,8,745,1.9297633440175364,29.0,ds_la_ola
0,0.6267,25,7,9,8,745,1.9297633440175364,29.0,ds_la_ola
0,0.6133,30,7,9,8,745,1.9297633440175364,29.0,ds_la_ola
0,0.5733,35,7,9,8,745,1.9297633440175364,29.0,ds_la_ola
0,0.5733,40,7,9,8,745,1.9297633440175364,29.0,ds_la_ola
0,0.56,45,7,9,8,745,1.9297633440175364,29.0,ds_la_ola
0,0.56,50,7,9,8,745,1.9297633440175364,29.0,ds_la_ola
0,0.56,60,7,9,8,745,1.9297633440175364,29.0,ds_la_ola
0,0.5467,70,7,9,8,745,1.9297633440175364,29.0,ds_la_ola
0,0.5467,80,7,9,8,745,1.9297633440175364,29.0,ds_la_ola
0,0.5467,90,7,9,8,745,1.9297633440175364,29.0,ds_la_ola
